link,iela,istabuSkaits,laukumsM2,stavs,serija,cenaM2,cena
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/adohg.html ,Žagatu 20,2,50,5/9,602.,1000,50000
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/afkeh.html ,Dzelzavas 31,2,37,3/5,LT proj.,1500,55500
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/ccgng.html ,Ieriķu 25,2,65,1/5,Specpr.,1012,65800
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/bcpexf.html ,Nīcgales 34,4,123,4/4,Jaun.,1610,198000
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/gjfbm.html ,Dzelzavas 25,4,77,4/9,602.,883,68000
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/dhcex.html ,Ūnijas 60,2,37,1/5,LT proj.,1105,40900
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/bgkgj.html ,Pūces 19,2,51,2/5,Jaun.,2206,112500
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/fxpxg.html ,Varavīksnes g. 4,2,50,9/9,602.,1170,58500
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/afhnf.html ,Stirnu 47,2,47,3/5,LT proj.,1170,55000
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/edcxc.html ,Ieriķu 60,1,37,9/2,Specpr.,1203,44500
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/fmdid.html ,Nīcgales 17,1,32,3/5,LT proj.,928,29700
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/gofpf.html ,Dzelzavas 33,2,48,2/5,LT proj.,1198,57500
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/alkpp.html ,Dzelzavas 31,1,30,4/5,LT proj.,1150,34500
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/hchfi.html ,Dzelzavas 25,3,63,1/9,602.,984,62000
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/clehb.html ,Deglava 108k6,3,74,3/9,119.,1216,89990
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/cbkjx.html ,Upeņu 17,2,62,7/9,Jaun.,2177,135000
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/fgnme.html ,Madonas 27,1,41,1/9,119.,963,39500
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/hchkg.html ,Vaidavas 10,2,40,3/5,Hrušč.,1050,42000
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/idppd.html ,Nīcgales 17,1,32,3/5,LT proj.,928,29700
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/hxnxd.html ,Braslas 53,2,70,4/6,Jaun.,2114,148000
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/befji.html ,Astras 8 k-1,3,89,5/24,Jaun.,2383,212100
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/omdgg.html ,Nīcgales 19,3,63,3/5,LT proj.,960,60500
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/dgldl.html ,Vaidavas 2,1,42,5/5,Specpr.,976,41000
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/eccmb.html ,Ilūkstes 107/2,3,59,5/9,467.,1237,73000
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/gjfpe.html ,Dzelzavas 74C,3,88,13/13,Jaun.,3067,269900
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/bdflnx.html ,Dzelzavas 74C,3,63,6/13,Jaun.,2741,172700
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/cnexe.html ,Stirnu 13A,3,103,4/6,Jaun.,1845,190000
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/fbjim.html ,Brantkalna 6,3,80,6/9,119.,774,61900
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/bbmcko.html ,Vaidavas 2 k4,2,40,1/5,Hrušč.,1100,44000
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/adgcf.html ,Stirnu 4,3,80,8/12,Jaun.,1979,158300
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/fmldj.html ,Ilūkstes 58,2,49,2/5,LT proj.,1020,50000
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/ciccd.html ,Stirnu 47,2,39,4/5,LT proj.,1051,41000
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/dicdh.html ,Madonas 21,2,60,11/16,Specpr.,1098,65900
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/gghpj.html ,Nīcgales 46,3,62,6/9,602.,1202,74500
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/bblgjd.html ,Dzelzavas 74C,2,42,2/13,Jaun.,2617,109900
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/eojpl.html ,Dzelzavas 74C,3,66,2/13,Jaun.,2520,166300
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/gexdm.html ,Dzelzavas 74C,4,77,2/13,Jaun.,2427,186900
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/hbpnm.html ,Stirnu 13 b,2,39,5/5,LT proj.,1154,45000
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/eexgh.html ,Lielvārdes 109,2,61,8/16,104.,1098,67000
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/fjldc.html ,Nīcgales 36a,2,49,1/5,Jaun.,2322,113800
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/hglmi.html ,Ieriķu 26,2,46,2/2,Staļina,1326,61000
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/aicmo.html ,Dzelzavas 104,3,60,5/7,Jaun.,2522,151300
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/exold.html ,Dzelzavas 104,2,42,7/7,Jaun.,2621,110100
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/gdgjl.html ,Kalsnavas 2с,2,60,6/12,104.,983,59000
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/dodec.html ,Purvciema 24,2,58,1/9,119.,862,50000
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/cppxg.html ,Vaidavas 10,2,41,2/5,Hrušč.,1146,47000
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/heock.html ,Dzelzavas 104,2,46,7/8,Jaun.,2393,110100
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/eghim.html ,Staiceles 1/2,2,51,9/9,602.,998,50900
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/emjln.html ,Lielvārdes 121,3,59,1/5,LT proj.,897,52900
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/fgbob.html ,Madonas 21,3,85,3/18,Specpr.,1041,88500
https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/ehxdc.html ,Vaidavas 2k5,1,30,3/5,Hrušč.,1383,41500
